s (1,1) 392
(6,7) (6,8) 348
(7,7) (7,8) 109
(8,7) (8,8) 69
(9,7) (9,8) 29
(10,7) (10,8) 47
(11,7) (11,8) 167
(12,7) (12,8) 318
(13,7) (13,8) 33
(14,7) (14,8) 275
(15,7) (15,8) 293
(16,7) (16,8) 301
(17,7) (17,8) 109
(18,7) (18,8) 192
(19,7) (19,8) 358
(20,7) (20,8) 108
(21,7) (21,8) 92
(22,7) (22,8) 16
(23,7) (23,8) 223
(24,7) (24,8) 204
(25,7) (25,8) 126
(26,7) (26,8) 190
(27,7) (27,8) 81
(28,7) (28,8) 266
(29,7) (29,8) 28
(30,7) (30,8) 93
(31,7) (31,8) 102
(32,7) (32,8) 49
(33,7) (33,8) 309
(34,7) (34,8) 322
(35,7) (35,8) 330
(36,7) (36,8) 45
(37,7) (37,8) 103
(38,7) (38,8) 63
(39,7) (39,8) 390
(40,7) (40,8) 39
(41,7) (41,8) 282
(42,7) (42,8) 204
(43,7) (43,8) 7
(44,7) (44,8) 242
(45,7) (45,8) 134
(46,7) (46,8) 228
(47,7) (47,8) 141
(48,7) (48,8) 128
(49,7) (49,8) 84
(50,7) (50,8) 169
(51,7) (51,8) 288
(52,7) (52,8) 145
(53,7) (53,8) 146
(54,7) (54,8) 165
(55,7) (55,8) 77
(56,7) (56,8) 154
(57,7) (57,8) 80
(58,7) (58,8) 191
(59,7) (59,8) 174
(60,7) (60,8) 382
(61,7) (61,8) 328
(62,7) (62,8) 390
(63,7) (63,8) 152
(64,7) (64,8) 380
(65,7) (65,8) 203
(66,7) (66,8) 125
(67,7) (67,8) 126
(68,7) (68,8) 372
(69,7) (69,8) 149
(70,7) (70,8) 227
(71,7) (71,8) 195
(72,7) (72,8) 87
(73,7) (73,8) 370
(74,7) (74,8) 334
(75,7) (75,8) 60
(76,7) (76,8) 138
(77,7) (77,8) 315
(78,7) (78,8) 115
(79,7) (79,8) 387
(80,7) (80,8) 166
(81,7) (81,8) 313
(82,7) (82,8) 228
(83,7) (83,8) 56
(84,7) (84,8) 160
(85,7) (85,8) 218
(86,7) (86,8) 38
(87,7) (87,8) 210
(88,7) (88,8) 304
(89,7) (89,8) 16
(90,7) (90,8) 382
(91,7) (91,8) 99
(92,7) (92,8) 176
(93,7) (93,8) 343
(94,7) (94,8) 392
(95,7) (95,8) 330
(96,7) (96,8) 275
(97,7) (97,8) 15
(98,7) (98,8) 196
(99,7) (99,8) 194
(100,7) (100,8) 95
(101,7) (101,8) 135
(102,7) (102,8) 381
(103,7) (103,8) 200
(104,7) (104,8) 120
(105,7) (105,8) 267
(106,7) (106,8) 263
(107,7) (107,8) 106
(108,7) (108,8) 155
(109,7) (109,8) 180
(110,7) (110,8) 149
(111,7) (111,8) 186
(112,7) (112,8) 35
(113,7) (113,8) 78
(114,7) (114,8) 4
(115,7) (115,8) 258
(116,7) (116,8) 268
(117,7) (117,8) 343
(118,7) (118,8) 151
(119,7) (119,8) 369
(120,7) (120,8) 98
(121,7) (121,8) 162
(122,7) (122,8) 335
(123,7) (123,8) 51
(124,7) (124,8) 292
(125,7) (125,8) 267
(126,7) (126,8) 279
(127,7) (127,8) 255
(128,7) (128,8) 395
(129,7) (129,8) 374
(130,7) (130,8) 314
(131,7) (131,8) 26
(132,7) (132,8) 145
(133,7) (133,8) 144
(134,7) (134,8) 321
(135,7) (135,8) 122
(136,7) (136,8) 192
(137,7) (137,8) 263
(138,7) (138,8) 45
(139,7) (139,8) 213
(140,7) (140,8) 88
(141,7) (141,8) 38
(142,7) (142,8) 77
(143,7) (143,8) 151
(144,7) (144,8) 395
(145,7) (145,8) 136
(146,7) (146,8) 77
(147,7) (147,8) 225
(148,7) (148,8) 393
(149,7) (149,8) 317
(150,7) (150,8) 171
(151,7) (151,8) 191
(152,7) (152,8) 388
(153,7) (153,8) 26
(154,7) (154,8) 23
(155,7) (155,8) 162
(156,7) (156,8) 367
(157,7) (157,8) 203
(158,7) (158,8) 86
(159,7) (159,8) 92
(160,7) (160,8) 344
(1,8) (1,9) 292
(2,8) (2,9) 291
(3,8) (3,9) 123
(4,8) (4,9) 238
(5,8) (5,9) 389
(6,8) (6,9) 291
(7,8) (7,9) 140
(8,8) (8,9) 385
(9,8) (9,9) 43
(10,8) (10,9) 99
(11,8) (11,9) 33
(12,8) (12,9) 69
(13,8) (13,9) 227
(14,8) (14,9) 160
(15,8) (15,9) 253
(16,8) (16,9) 146
(17,8) (17,9) 26
(18,8) (18,9) 67
(19,8) (19,9) 267
(20,8) (20,9) 204
(21,8) (21,9) 272
(22,8) (22,9) 247
(23,8) (23,9) 63
(24,8) (24,9) 329
(25,8) (25,9) 299
(26,8) (26,9) 392
(27,8) (27,9) 356
(28,8) (28,9) 324
(29,8) (29,9) 104
(30,8) (30,9) 170
(31,8) (31,9) 21
(32,8) (32,9) 62
(33,8) (33,9) 12
(34,8) (34,9) 19
(35,8) (35,9) 343
(36,8) (36,9) 267
(37,8) (37,9) 296
(38,8) (38,9) 294
(39,8) (39,9) 211
(40,8) (40,9) 144
(41,8) (41,9) 379
(42,8) (42,9) 61
(43,8) (43,9) 338
(44,8) (44,9) 103
(45,8) (45,9) 385
(46,8) (46,9) 66
(47,8) (47,9) 320
(48,8) (48,9) 316
(49,8) (49,9) 10
(50,8) (50,9) 282
(51,8) (51,9) 67
(52,8) (52,9) 216
(53,8) (53,9) 277
(54,8) (54,9) 223
(55,8) (55,9) 181
(56,8) (56,9) 375
(57,8) (57,9) 11
(58,8) (58,9) 264
(59,8) (59,9) 29
(60,8) (60,9) 88
(61,8) (61,9) 104
(62,8) (62,9) 23
(63,8) (63,9) 349
(64,8) (64,9) 272
(65,8) (65,9) 147
(66,8) (66,9) 222
(67,8) (67,9) 4
(68,8) (68,9) 28
(69,8) (69,9) 239
(70,8) (70,9) 127
(71,8) (71,9) 2
(72,8) (72,9) 321
(73,8) (73,9) 43
(74,8) (74,9) 143
(75,8) (75,9) 44
(76,8) (76,9) 241
(77,8) (77,9) 244
(78,8) (78,9) 231
(79,8) (79,9) 22
(80,8) (80,9) 77
(81,8) (81,9) 26
(82,8) (82,9) 295
(83,8) (83,9) 301
(84,8) (84,9) 97
(85,8) (85,9) 143
(86,8) (86,9) 70
(87,8) (87,9) 87
(88,8) (88,9) 209
(89,8) (89,9) 284
(90,8) (90,9) 186
(91,8) (91,9) 161
(92,8) (92,9) 366
(93,8) (93,9) 78
(94,8) (94,9) 208
(95,8) (95,9) 280
(96,8) (96,9) 276
(97,8) (97,9) 141
(98,8) (98,9) 169
(99,8) (99,9) 132
(100,8) (100,9) 99
(101,8) (101,9) 190
(102,8) (102,9) 226
(103,8) (103,9) 126
(104,8) (104,9) 24
(105,8) (105,9) 366
(106,8) (106,9) 350
(107,8) (107,9) 67
(108,8) (108,9) 72
(109,8) (109,9) 46
(110,8) (110,9) 210
(111,8) (111,9) 320
(112,8) (112,9) 265
(113,8) (113,9) 111
(114,8) (114,9) 124
(115,8) (115,9) 317
(116,8) (116,9) 332
(117,8) (117,9) 179
(118,8) (118,9) 321
(119,8) (119,9) 214
(120,8) (120,9) 378
(121,8) (121,9) 34
(122,8) (122,9) 338
(123,8) (123,9) 324
(124,8) (124,9) 362
(125,8) (125,9) 366
(126,8) (126,9) 314
(127,8) (127,9) 219
(128,8) (128,9) 93
(129,8) (129,9) 174
(130,8) (130,9) 119
(131,8) (131,9) 60
(132,8) (132,9) 102
(133,8) (133,9) 103
(134,8) (134,9) 178
(135,8) (135,9) 27
(136,8) (136,9) 169
(137,8) (137,9) 185
(138,8) (138,9) 348
(139,8) (139,9) 43
(140,8) (140,9) 399
(141,8) (141,9) 261
(142,8) (142,9) 391
(143,8) (143,9) 389
(144,8) (144,9) 19
(145,8) (145,9) 93
(146,8) (146,9) 31
(147,8) (147,9) 231
(148,8) (148,9) 381
(149,8) (149,9) 339
(150,8) (150,9) 67
(151,8) (151,9) 265
(152,8) (152,9) 72
(153,8) (153,9) 179
(154,8) (154,9) 116
(155,8) (155,9) 139
(156,8) (156,9) 145
(157,8) (157,9) 253
(158,8) (158,9) 56
(159,8) (159,9) 138
(160,8) (160,9) 270
(1,9) (1,10) 90
(2,9) (2,10) 299
(3,9) (3,10) 97
(4,9) (4,10) 265
(5,9) (5,10) 112
(6,9) (6,10) 260
(7,9) (7,10) 364
(8,9) (8,10) 200
(9,9) (9,10) 176
(10,9) (10,10) 207
(11,9) (11,10) 216
(12,9) (12,10) 363
(13,9) (13,10) 93
(14,9) (14,10) 300
(15,9) (15,10) 342
(16,9) (16,10) 81
(17,9) (17,10) 151
(18,9) (18,10) 195
(19,9) (19,10) 383
(20,9) (20,10) 246
(21,9) (21,10) 69
(22,9) (22,10) 193
(23,9) (23,10) 337
(24,9) (24,10) 141
(25,9) (25,10) 193
(26,9) (26,10) 340
(27,9) (27,10) 72
(28,9) (28,10) 326
(29,9) (29,10) 382
(30,9) (30,10) 48
(31,9) (31,10) 184
(32,9) (32,10) 317
(33,9) (33,10) 356
(34,9) (34,10) 251
(35,9) (35,10) 166
(36,9) (36,10) 399
(37,9) (37,10) 316
(38,9) (38,10) 139
(39,9) (39,10) 182
(40,9) (40,10) 9
(41,9) (41,10) 263
(42,9) (42,10) 394
(43,9) (43,10) 222
(44,9) (44,10) 271
(45,9) (45,10) 168
(46,9) (46,10) 195
(47,9) (47,10) 10
(48,9) (48,10) 165
(49,9) (49,10) 306
(50,9) (50,10) 188
(51,9) (51,10) 217
(52,9) (52,10) 397
(53,9) (53,10) 156
(54,9) (54,10) 143
(55,9) (55,10) 85
(56,9) (56,10) 254
(57,9) (57,10) 306
(58,9) (58,10) 327
(59,9) (59,10) 336
(60,9) (60,10) 302
(61,9) (61,10) 53
(62,9) (62,10) 388
(63,9) (63,10) 89
(64,9) (64,10) 364
(65,9) (65,10) 114
(66,9) (66,10) 362
(67,9) (67,10) 78
(68,9) (68,10) 172
(69,9) (69,10) 47
(70,9) (70,10) 396
(71,9) (71,10) 380
(72,9) (72,10) 160
(73,9) (73,10) 145
(74,9) (74,10) 113
(75,9) (75,10) 241
(76,9) (76,10) 319
(77,9) (77,10) 28
(78,9) (78,10) 80
(79,9) (79,10) 3
(80,9) (80,10) 228
(81,9) (81,10) 50
(82,9) (82,10) 366
(83,9) (83,10) 153
(84,9) (84,10) 198
(85,9) (85,10) 61
(86,9) (86,10) 161
(87,9) (87,10) 135
(88,9) (88,10) 175
(89,9) (89,10) 311
(90,9) (90,10) 31
(91,9) (91,10) 231
(92,9) (92,10) 348
(93,9) (93,10) 294
(94,9) (94,10) 392
(95,9) (95,10) 274
(96,9) (96,10) 112
(97,9) (97,10) 390
(98,9) (98,10) 173
(99,9) (99,10) 127
(100,9) (100,10) 357
(101,9) (101,10) 286
(102,9) (102,10) 59
(103,9) (103,10) 258
(104,9) (104,10) 32
(105,9) (105,10) 324
(106,9) (106,10) 184
(107,9) (107,10) 246
(108,9) (108,10) 256
(109,9) (109,10) 156
(110,9) (110,10) 9
(111,9) (111,10) 5
(112,9) (112,10) 371
(113,9) (113,10) 139
(114,9) (114,10) 285
(115,9) (115,10) 259
(116,9) (116,10) 228
(117,9) (117,10) 363
(118,9) (118,10) 74
(119,9) (119,10) 171
(120,9) (120,10) 4
(121,9) (121,10) 327
(122,9) (122,10) 226
(123,9) (123,10) 177
(124,9) (124,10) 132
(125,9) (125,10) 262
(126,9) (126,10) 369
(127,9) (127,10) 311
(128,9) (128,10) 29
(129,9) (129,10) 212
(130,9) (130,10) 150
(131,9) (131,10) 219
(132,9) (132,10) 77
(133,9) (133,10) 332
(134,9) (134,10) 12
(135,9) (135,10) 189
(136,9) (136,10) 255
(137,9) (137,10) 50
(138,9) (138,10) 243
(139,9) (139,10) 15
(140,9) (140,10) 213
(141,9) (141,10) 236
(142,9) (142,10) 224
(143,9) (143,10) 5
(144,9) (144,10) 324
(145,9) (145,10) 353
(146,9) (146,10) 382
(147,9) (147,10) 299
(148,9) (148,10) 283
(149,9) (149,10) 186
(150,9) (150,10) 239
(151,9) (151,10) 198
(152,9) (152,10) 385
(153,9) (153,10) 389
(154,9) (154,10) 131
(155,9) (155,10) 3
(156,9) (156,10) 187
(157,9) (157,10) 120
(158,9) (158,10) 19
(159,9) (159,10) 11
(160,9) (160,10) 7
(1,1) (2,1) 50
(2,1) (1,1) 171
(2,1) (3,1) 168
(3,1) (2,1) 153
(3,1) (4,1) 301
(4,1) (3,1) 322
(4,1) (5,1) 225
(5,1) (4,1) 367
(5,1) (6,1) 384
(6,1) (5,1) 391
(6,1) (7,1) 17
(7,1) (6,1) 306
(7,1) (8,1) 81
(8,1) (7,1) 378
(8,1) (9,1) 326
(9,1) (8,1) 396
(9,1) (10,1) 231
(10,1) (9,1) 147
(10,1) (11,1) 278
(11,1) (10,1) 144
(11,1) (12,1) 46
(12,1) (11,1) 243
(12,1) (13,1) 155
(13,1) (12,1) 394
(13,1) (14,1) 116
(14,1) (13,1) 230
(14,1) (15,1) 367
(15,1) (14,1) 84
(15,1) (16,1) 192
(16,1) (15,1) 178
(16,1) (17,1) 3
(17,1) (16,1) 162
(17,1) (18,1) 18
(18,1) (17,1) 30
(18,1) (19,1) 233
(19,1) (18,1) 380
(19,1) (20,1) 213
(20,1) (19,1) 130
(20,1) (21,1) 33
(21,1) (20,1) 213
(21,1) (22,1) 113
(22,1) (21,1) 7
(22,1) (23,1) 16
(23,1) (22,1) 316
(23,1) (24,1) 254
(24,1) (23,1) 122
(24,1) (25,1) 13
(25,1) (24,1) 271
(25,1) (26,1) 19
(26,1) (25,1) 50
(26,1) (27,1) 166
(27,1) (26,1) 134
(27,1) (28,1) 315
(28,1) (27,1) 107
(28,1) (29,1) 367
(29,1) (28,1) 35
(29,1) (30,1) 9
(30,1) (29,1) 351
(30,1) (31,1) 90
(31,1) (30,1) 36
(31,1) (32,1) 307
(32,1) (31,1) 49
(32,1) (33,1) 306
(33,1) (32,1) 386
(33,1) (34,1) 345
(34,1) (33,1) 85
(34,1) (35,1) 1
(35,1) (34,1) 346
(35,1) (36,1) 201
(36,1) (35,1) 111
(36,1) (37,1) 2
(37,1) (36,1) 118
(37,1) (38,1) 91
(38,1) (37,1) 118
(38,1) (39,1) 33
(39,1) (38,1) 231
(39,1) (40,1) 39
(40,1) (39,1) 213
(40,1) (41,1) 46
(41,1) (40,1) 336
(41,1) (42,1) 135
(42,1) (41,1) 46
(42,1) (43,1) 384
(43,1) (42,1) 2
(43,1) (44,1) 6
(44,1) (43,1) 395
(44,1) (45,1) 390
(45,1) (44,1) 112
(45,1) (46,1) 216
(46,1) (45,1) 19
(46,1) (47,1) 169
(47,1) (46,1) 382
(47,1) (48,1) 355
(48,1) (47,1) 261
(48,1) (49,1) 205
(49,1) (48,1) 315
(49,1) (50,1) 187
(50,1) (49,1) 83
(50,1) (51,1) 150
(51,1) (50,1) 104
(51,1) (52,1) 332
(52,1) (51,1) 110
(52,1) (53,1) 247
(53,1) (52,1) 100
(53,1) (54,1) 128
(54,1) (53,1) 234
(54,1) (55,1) 22
(55,1) (54,1) 277
(55,1) (56,1) 96
(56,1) (55,1) 158
(56,1) (57,1) 44
(57,1) (56,1) 165
(57,1) (58,1) 119
(58,1) (57,1) 123
(58,1) (59,1) 200
(59,1) (58,1) 343
(59,1) (60,1) 242
(60,1) (59,1) 135
(60,1) (61,1) 339
(61,1) (60,1) 276
(61,1) (62,1) 276
(62,1) (61,1) 276
(62,1) (63,1) 286
(63,1) (62,1) 215
(63,1) (64,1) 182
(64,1) (63,1) 337
(64,1) (65,1) 327
(65,1) (64,1) 17
(65,1) (66,1) 156
(66,1) (65,1) 189
(66,1) (67,1) 27
(67,1) (66,1) 73
(67,1) (68,1) 66
(68,1) (67,1) 83
(68,1) (69,1) 277
(69,1) (68,1) 212
(69,1) (70,1) 53
(70,1) (69,1) 327
(70,1) (71,1) 37
(71,1) (70,1) 205
(71,1) (72,1) 302
(72,1) (71,1) 171
(72,1) (73,1) 348
(73,1) (72,1) 209
(73,1) (74,1) 25
(74,1) (73,1) 238
(74,1) (75,1) 35
(75,1) (74,1) 25
(75,1) (76,1) 180
(76,1) (75,1) 386
(76,1) (77,1) 139
(77,1) (76,1) 181
(77,1) (78,1) 35
(78,1) (77,1) 88
(78,1) (79,1) 382
(79,1) (78,1) 242
(79,1) (80,1) 160
(80,1) (79,1) 170
(80,1) (81,1) 213
(81,1) (80,1) 311
(81,1) (82,1) 207
(82,1) (81,1) 229
(82,1) (83,1) 4
(83,1) (82,1) 34
(83,1) (84,1) 16
(84,1) (83,1) 209
(84,1) (85,1) 352
(85,1) (84,1) 362
(85,1) (86,1) 238
(86,1) (85,1) 335
(86,1) (87,1) 32
(87,1) (86,1) 64
(87,1) (88,1) 52
(88,1) (87,1) 366
(88,1) (89,1) 161
(89,1) (88,1) 215
(89,1) (90,1) 207
(90,1) (89,1) 249
(90,1) (91,1) 355
(91,1) (90,1) 29
(91,1) (92,1) 175
(92,1) (91,1) 224
(92,1) (93,1) 273
(93,1) (92,1) 213
(93,1) (94,1) 295
(94,1) (93,1) 50
(94,1) (95,1) 206
(95,1) (94,1) 227
(95,1) (96,1) 35
(96,1) (95,1) 4
(96,1) (97,1) 235
(97,1) (96,1) 323
(97,1) (98,1) 361
(98,1) (97,1) 225
(98,1) (99,1) 325
(99,1) (98,1) 22
(99,1) (100,1) 361
(100,1) (99,1) 237
(100,1) (101,1) 363
(101,1) (100,1) 122
(101,1) (102,1) 78
(102,1) (101,1) 311
(102,1) (103,1) 237
(103,1) (102,1) 292
(103,1) (104,1) 118
(104,1) (103,1) 59
(104,1) (105,1) 335
(105,1) (104,1) 397
(105,1) (106,1) 110
(106,1) (105,1) 130
(106,1) (107,1) 189
(107,1) (106,1) 230
(107,1) (108,1) 199
(108,1) (107,1) 119
(108,1) (109,1) 313
(109,1) (108,1) 393
(109,1) (110,1) 277
(110,1) (109,1) 38
(110,1) (111,1) 304
(111,1) (110,1) 174
(111,1) (112,1) 357
(112,1) (111,1) 50
(112,1) (113,1) 267
(113,1) (112,1) 343
(113,1) (114,1) 174
(114,1) (113,1) 35
(114,1) (115,1) 354
(115,1) (114,1) 153
(115,1) (116,1) 177
(116,1) (115,1) 27
(116,1) (117,1) 154
(117,1) (116,1) 263
(117,1) (118,1) 347
(118,1) (117,1) 308
(118,1) (119,1) 334
(119,1) (118,1) 124
(119,1) (120,1) 41
(120,1) (119,1) 168
(120,1) (121,1) 395
(121,1) (120,1) 117
(121,1) (122,1) 234
(122,1) (121,1) 331
(122,1) (123,1) 358
(123,1) (122,1) 41
(123,1) (124,1) 144
(124,1) (123,1) 121
(124,1) (125,1) 73
(125,1) (124,1) 198
(125,1) (126,1) 224
(126,1) (125,1) 200
(126,1) (127,1) 90
(127,1) (126,1) 185
(127,1) (128,1) 234
(128,1) (127,1) 90
(128,1) (129,1) 364
(129,1) (128,1) 185
(129,1) (130,1) 162
(130,1) (129,1) 305
(130,1) (131,1) 238
(131,1) (130,1) 304
(131,1) (132,1) 188
(132,1) (131,1) 126
(132,1) (133,1) 98
(133,1) (132,1) 231
(133,1) (134,1) 39
(134,1) (133,1) 217
(134,1) (135,1) 89
(135,1) (134,1) 237
(135,1) (136,1) 368
(136,1) (135,1) 55
(136,1) (137,1) 297
(137,1) (136,1) 100
(137,1) (138,1) 167
(138,1) (137,1) 378
(138,1) (139,1) 272
(139,1) (138,1) 265
(139,1) (140,1) 46
(140,1) (139,1) 267
(140,1) (141,1) 50
(141,1) (140,1) 398
(141,1) (142,1) 62
(142,1) (141,1) 108
(142,1) (143,1) 367
(143,1) (142,1) 373
(143,1) (144,1) 260
(144,1) (143,1) 301
(144,1) (145,1) 256
(145,1) (144,1) 251
(145,1) (146,1) 329
(146,1) (145,1) 158
(146,1) (147,1) 143
(147,1) (146,1) 14
(147,1) (148,1) 287
(148,1) (147,1) 300
(148,1) (149,1) 198
(149,1) (148,1) 397
(149,1) (150,1) 167
(150,1) (149,1) 233
(150,1) (151,1) 96
(151,1) (150,1) 298
(151,1) (152,1) 175
(152,1) (151,1) 124
(152,1) (153,1) 268
(153,1) (152,1) 142
(153,1) (154,1) 88
(154,1) (153,1) 210
(154,1) (155,1) 385
(155,1) (154,1) 186
(155,1) (156,1) 22
(156,1) (155,1) 368
(156,1) (157,1) 379
(157,1) (156,1) 166
(157,1) (158,1) 97
(158,1) (157,1) 343
(158,1) (159,1) 226
(159,1) (158,1) 136
(159,1) (160,1) 89
(160,1) (159,1) 354
(1,2) (2,2) 187
(2,2) (1,2) 290
(2,2) (3,2) 166
(3,2) (2,2) 190
(3,2) (4,2) 184
(4,2) (3,2) 104
(4,2) (5,2) 125
(5,2) (4,2) 198
(5,2) (6,2) 11
(6,2) (5,2) 284
(6,2) (7,2) 126
(7,2) (6,2) 27
(7,2) (8,2) 233
(8,2) (7,2) 8
(8,2) (9,2) 90
(9,2) (8,2) 76
(9,2) (10,2) 297
(10,2) (9,2) 328
(10,2) (11,2) 35
(11,2) (10,2) 104
(11,2) (12,2) 267
(12,2) (11,2) 81
(12,2) (13,2) 139
(13,2) (12,2) 77
(13,2) (14,2) 5
(14,2) (13,2) 258
(14,2) (15,2) 238
(15,2) (14,2) 379
(15,2) (16,2) 377
(16,2) (15,2) 341
(16,2) (17,2) 364
(17,2) (16,2) 347
(17,2) (18,2) 210
(18,2) (17,2) 114
(18,2) (19,2) 190
(19,2) (18,2) 133
(19,2) (20,2) 109
(20,2) (19,2) 257
(20,2) (21,2) 346
(21,2) (20,2) 323
(21,2) (22,2) 357
(22,2) (21,2) 153
(22,2) (23,2) 354
(23,2) (22,2) 304
(23,2) (24,2) 166
(24,2) (23,2) 346
(24,2) (25,2) 294
(25,2) (24,2) 91
(25,2) (26,2) 131
(26,2) (25,2) 291
(26,2) (27,2) 346
(27,2) (26,2) 398
(27,2) (28,2) 196
(28,2) (27,2) 369
(28,2) (29,2) 354
(29,2) (28,2) 294
(29,2) (30,2) 119
(30,2) (29,2) 262
(30,2) (31,2) 137
(31,2) (30,2) 126
(31,2) (32,2) 374
(32,2) (31,2) 17
(32,2) (33,2) 193
(33,2) (32,2) 76
(33,2) (34,2) 121
(34,2) (33,2) 159
(34,2) (35,2) 101
(35,2) (34,2) 104
(35,2) (36,2) 322
(36,2) (35,2) 173
(36,2) (37,2) 347
(37,2) (36,2) 277
(37,2) (38,2) 7
(38,2) (37,2) 281
(38,2) (39,2) 85
(39,2) (38,2) 205
(39,2) (40,2) 365
(40,2) (39,2) 309
(40,2) (41,2) 374
(41,2) (40,2) 381
(41,2) (42,2) 207
(42,2) (41,2) 6
(42,2) (43,2) 370
(43,2) (42,2) 298
(43,2) (44,2) 302
(44,2) (43,2) 287
(44,2) (45,2) 366
(45,2) (44,2) 334
(45,2) (46,2) 66
(46,2) (45,2) 213
(46,2) (47,2) 166
(47,2) (46,2) 339
(47,2) (48,2) 143
(48,2) (47,2) 111
(48,2) (49,2) 141
(49,2) (48,2) 107
(49,2) (50,2) 195
(50,2) (49,2) 349
(50,2) (51,2) 31
(51,2) (50,2) 202
(51,2) (52,2) 347
(52,2) (51,2) 289
(52,2) (53,2) 179
(53,2) (52,2) 368
(53,2) (54,2) 54
(54,2) (53,2) 158
(54,2) (55,2) 380
(55,2) (54,2) 87
(55,2) (56,2) 33
(56,2) (55,2) 251
(56,2) (57,2) 110
(57,2) (56,2) 85
(57,2) (58,2) 65
(58,2) (57,2) 164
(58,2) (59,2) 238
(59,2) (58,2) 174
(59,2) (60,2) 191
(60,2) (59,2) 190
(60,2) (61,2) 3
(61,2) (60,2) 154
(61,2) (62,2) 317
(62,2) (61,2) 341
(62,2) (63,2) 152
(63,2) (62,2) 366
(63,2) (64,2) 103
(64,2) (63,2) 356
(64,2) (65,2) 163
(65,2) (64,2) 58
(65,2) (66,2) 117
(66,2) (65,2) 367
(66,2) (67,2) 271
(67,2) (66,2) 30
(67,2) (68,2) 381
(68,2) (67,2) 256
(68,2) (69,2) 278
(69,2) (68,2) 394
(69,2) (70,2) 5
(70,2) (69,2) 93
(70,2) (71,2) 107
(71,2) (70,2) 80
(71,2) (72,2) 38
(72,2) (71,2) 163
(72,2) (73,2) 3
(73,2) (72,2) 360
(73,2) (74,2) 380
(74,2) (73,2) 97
(74,2) (75,2) 115
(75,2) (74,2) 208
(75,2) (76,2) 265
(76,2) (75,2) 291
(76,2) (77,2) 277
(77,2) (76,2) 78
(77,2) (78,2) 170
(78,2) (77,2) 216
(78,2) (79,2) 260
(79,2) (78,2) 4
(79,2) (80,2) 226
(80,2) (79,2) 339
(80,2) (81,2) 343
(81,2) (80,2) 398
(81,2) (82,2) 178
(82,2) (81,2) 219
(82,2) (83,2) 187
(83,2) (82,2) 106
(83,2) (84,2) 362
(84,2) (83,2) 95
(84,2) (85,2) 88
(85,2) (84,2) 133
(85,2) (86,2) 216
(86,2) (85,2) 362
(86,2) (87,2) 293
(87,2) (86,2) 190
(87,2) (88,2) 351
(88,2) (87,2) 366
(88,2) (89,2) 152
(89,2) (88,2) 25
(89,2) (90,2) 36
(90,2) (89,2) 32
(90,2) (91,2) 214
(91,2) (90,2) 307
(91,2) (92,2) 274
(92,2) (91,2) 112
(92,2) (93,2) 104
(93,2) (92,2) 333
(93,2) (94,2) 333
(94,2) (93,2) 36
(94,2) (95,2) 334
(95,2) (94,2) 167
(95,2) (96,2) 51
(96,2) (95,2) 144
(96,2) (97,2) 398
(97,2) (96,2) 154
(97,2) (98,2) 143
(98,2) (97,2) 148
(98,2) (99,2) 293
(99,2) (98,2) 17
(99,2) (100,2) 343
(100,2) (99,2) 161
(100,2) (101,2) 254
(101,2) (100,2) 21
(101,2) (102,2) 149
(102,2) (101,2) 185
(102,2) (103,2) 384
(103,2) (102,2) 180
(103,2) (104,2) 354
(104,2) (103,2) 34
(104,2) (105,2) 113
(105,2) (104,2) 110
(105,2) (106,2) 254
(106,2) (105,2) 295
(106,2) (107,2) 329
(107,2) (106,2) 187
(107,2) (108,2) 269
(108,2) (107,2) 140
(108,2) (109,2) 257
(109,2) (108,2) 188
(109,2) (110,2) 139
(110,2) (109,2) 219
(110,2) (111,2) 10
(111,2) (110,2) 12
(111,2) (112,2) 240
(112,2) (111,2) 400
(112,2) (113,2) 314
(113,2) (112,2) 387
(113,2) (114,2) 239
(114,2) (113,2) 109
(114,2) (115,2) 194
(115,2) (114,2) 200
(115,2) (116,2) 152
(116,2) (115,2) 283
(116,2) (117,2) 171
(117,2) (116,2) 175
(117,2) (118,2) 45
(118,2) (117,2) 46
(118,2) (119,2) 270
(119,2) (118,2) 86
(119,2) (120,2) 34
(120,2) (119,2) 83
(120,2) (121,2) 98
(121,2) (120,2) 328
(121,2) (122,2) 237
(122,2) (121,2) 184
(122,2) (123,2) 288
(123,2) (122,2) 173
(123,2) (124,2) 77
(124,2) (123,2) 232
(124,2) (125,2) 387
(125,2) (124,2) 207
(125,2) (126,2) 344
(126,2) (125,2) 323
(126,2) (127,2) 76
(127,2) (126,2) 184
(127,2) (128,2) 284
(128,2) (127,2) 326
(128,2) (129,2) 305
(129,2) (128,2) 13
(129,2) (130,2) 38
(130,2) (129,2) 187
(130,2) (131,2) 277
(131,2) (130,2) 145
(131,2) (132,2) 65
(132,2) (131,2) 256
(132,2) (133,2) 339
(133,2) (132,2) 247
(133,2) (134,2) 119
(134,2) (133,2) 316
(134,2) (135,2) 372
(135,2) (134,2) 361
(135,2) (136,2) 307
(136,2) (135,2) 388
(136,2) (137,2) 224
(137,2) (136,2) 350
(137,2) (138,2) 342
(138,2) (137,2) 57
(138,2) (139,2) 129
(139,2) (138,2) 347
(139,2) (140,2) 88
(140,2) (139,2) 26
(140,2) (141,2) 355
(141,2) (140,2) 89
(141,2) (142,2) 279
(142,2) (141,2) 382
(142,2) (143,2) 231
